Questions	CustomResponse	PublicResponse	PublicTotalTokens	CustomTotalTokens	PublicResponseText	InputTokens	CustomResponseText
Every single person at a restaurant got sick, except for two people who were completely fine. How is that possible?	"[<OpenAIObject text_completion id=cmpl-6hWXvCNEfxGy9biiL68OLBME5dfum at 0x2218db436d0> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nIt is possible that the two people who were completely fine had immunity to the illness that caused the other people to get sick. Alternatively, the two people may have taken preventative measures, such as washing their hands or avoiding contact with contaminated surfaces, that protected them from getting sick.""
    }
  ],
  ""created"": 1675831231,
  ""id"": ""cmpl-6hWXvCNEfxGy9biiL68OLBME5dfum"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 58,
    ""prompt_tokens"": 23,
    ""total_tokens"": 81
  }
}, 200, 1.431579]"	[{'id': 'cmpl-6hWavqAOvbU4jYds6fQQT0oTWT4V7', 'object': 'text_completion', 'created': 1675831417, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nIt is possible that the two people who were completely fine had immunity to the illness that made everyone else sick, or that they had taken preventative measures such as vaccinations or consuming certain foods or supplements.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 23, 'completion_tokens': 42, 'total_tokens': 65}}, 200]	65	81	It is possible that the two people who were completely fine had immunity to the illness that made everyone else sick, or that they had taken preventative measures such as vaccinations or consuming certain foods or supplements.	23	It is possible that the two people who were completely fine had immunity to the illness that caused the other people to get sick. Alternatively, the two people may have taken preventative measures, such as washing their hands or avoiding contact with contaminated surfaces, that protected them from getting sick.
The two people were a couple and, therefore, not single	"[<OpenAIObject text_completion id=cmpl-6hWXwAmjJT03TbWxylW8SsuHg386M at 0x2218db43950> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": "".""
    }
  ],
  ""created"": 1675831232,
  ""id"": ""cmpl-6hWXwAmjJT03TbWxylW8SsuHg386M"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 1,
    ""prompt_tokens"": 12,
    ""total_tokens"": 13
  }
}, 200, 0.613207]"	[{'id': 'cmpl-6hWb0eXh6uVDsVAQTmgZdvOf44e4m', 'object': 'text_completion', 'created': 1675831422, 'model': 'text-davinci-003', 'choices': [{'text': '.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 12, 'completion_tokens': 1, 'total_tokens': 13}}, 200]	13	13	.	12	.
Want another challenge? Let’s see how many of these tongue twisters you can say without stumbling.	"[<OpenAIObject text_completion id=cmpl-6hWXxBgr0u0X8felkdWBl9RQobk2K at 0x2218db43bd0> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\n1. She sells seashells by the seashore.\n2. How much wood would a woodchuck chuck if a woodchuck could chuck wood?\n3. Round the rugged rocks the ragged rascal ran.\n4. Fuzzy Wuzzy was a bear, Fuzzy Wuzzy had no hair.\n5. Peter Piper picked a peck of pickled peppers.\n6. I saw Susie sitting in a shoe shine shop.\n7. Six thick thistle sticks.\n8. How can a clam cram in a clean cream can?""
    }
  ],
  ""created"": 1675831233,
  ""id"": ""cmpl-6hWXxBgr0u0X8felkdWBl9RQobk2K"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 124,
    ""prompt_tokens"": 26,
    ""total_tokens"": 150
  }
}, 200, 2.563995]"	[{'id': 'cmpl-6hWb1llN06YfWzuy9nm51drSoGVEP', 'object': 'text_completion', 'created': 1675831423, 'model': 'text-davinci-003', 'choices': [{'text': '\n\n1. She sells seashells by the seashore.\n2. How much wood would a woodchuck chuck if a woodchuck could chuck wood?\n3. Round the rugged rock the ragged rascal ran.\n4. Peter Piper picked a peck of pickled peppers.\n5. Six slimy snails sailed silently.\n6. Fuzzy Wuzzy was a bear, Fuzzy Wuzzy had no hair.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 26, 'completion_tokens': 98, 'total_tokens': 124}}, 200]	124	150	"1. She sells seashells by the seashore.
2. How much wood would a woodchuck chuck if a woodchuck could chuck wood?
3. Round the rugged rock the ragged rascal ran.
4. Peter Piper picked a peck of pickled peppers.
5. Six slimy snails sailed silently.
6. Fuzzy Wuzzy was a bear, Fuzzy Wuzzy had no hair."	26	"1. She sells seashells by the seashore.
2. How much wood would a woodchuck chuck if a woodchuck could chuck wood?
3. Round the rugged rocks the ragged rascal ran.
4. Fuzzy Wuzzy was a bear, Fuzzy Wuzzy had no hair.
5. Peter Piper picked a peck of pickled peppers.
6. I saw Susie sitting in a shoe shine shop.
7. Six thick thistle sticks.
8. How can a clam cram in a clean cream can?"
What’s something that has a head and a tail but no paws?	"[<OpenAIObject text_completion id=cmpl-6hWXzHof8YbIQ3V6TMeP3wIFNUJRr at 0x2218d929090> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nA coin.""
    }
  ],
  ""created"": 1675831235,
  ""id"": ""cmpl-6hWXzHof8YbIQ3V6TMeP3wIFNUJRr"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 5,
    ""prompt_tokens"": 16,
    ""total_tokens"": 21
  }
}, 200, 0.397435]"	[{'id': 'cmpl-6hWb6Z1gTTgbeIoCrqO5pN6lheT6s', 'object': 'text_completion', 'created': 1675831428, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nA coin.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 16, 'completion_tokens': 5, 'total_tokens': 21}}, 200]	21	21	A coin.	16	A coin.
Is it normal for someone to have all their toes on one foot?	"[<OpenAIObject text_completion id=cmpl-6hWY0h7IgweaWfzuwdxOSyP6vGySv at 0x2218d929130> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nNo, it is not normal for someone to have all their toes on one foot. This could be a sign of a medical condition, such as a birth defect or an injury. It is important to speak to a doctor if you notice any unusual changes in your toes.""
    }
  ],
  ""created"": 1675831236,
  ""id"": ""cmpl-6hWY0h7IgweaWfzuwdxOSyP6vGySv"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 56,
    ""prompt_tokens"": 14,
    ""total_tokens"": 70
  }
}, 200, 2.258719]"	[{'id': 'cmpl-6hWb6SPqwCgNxQ8ujwvGal5k09pQL', 'object': 'text_completion', 'created': 1675831428, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nNo, it is not normal for someone to have all their toes on one foot. This is a rare condition known as polydactyly, and it is usually caused by a genetic mutation.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 14, 'completion_tokens': 42, 'total_tokens': 56}}, 200]	56	70	No, it is not normal for someone to have all their toes on one foot. This is a rare condition known as polydactyly, and it is usually caused by a genetic mutation.	14	No, it is not normal for someone to have all their toes on one foot. This could be a sign of a medical condition, such as a birth defect or an injury. It is important to speak to a doctor if you notice any unusual changes in your toes.
No, as people’s toes are on two feet, not one foot	"[<OpenAIObject text_completion id=cmpl-6hWY2H10sabeKKnyyI8lk9lyK5S4x at 0x2218d9293b0> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": "".""
    }
  ],
  ""created"": 1675831238,
  ""id"": ""cmpl-6hWY2H10sabeKKnyyI8lk9lyK5S4x"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 1,
    ""prompt_tokens"": 16,
    ""total_tokens"": 17
  }
}, 200, 0.409531]"	[{'id': 'cmpl-6hWb9gyx1raRN5PsGHZh9VrmjJIaR', 'object': 'text_completion', 'created': 1675831431, 'model': 'text-davinci-003', 'choices': [{'text': '.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 16, 'completion_tokens': 1, 'total_tokens': 17}}, 200]	17	17	.	16	.
Which word in the dictionary is always spelled incorrectly?	"[<OpenAIObject text_completion id=cmpl-6hWY28kqvcUQZQEBMMieShHm9RgBN at 0x2218d929630> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nIncorrectly.""
    }
  ],
  ""created"": 1675831238,
  ""id"": ""cmpl-6hWY28kqvcUQZQEBMMieShHm9RgBN"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 6,
    ""prompt_tokens"": 10,
    ""total_tokens"": 16
  }
}, 200, 0.40747]"	[{'id': 'cmpl-6hWbAE1lJrd5QeHhC6YFWyPgaQkqw', 'object': 'text_completion', 'created': 1675831432, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nIncorrectly.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 10, 'completion_tokens': 6, 'total_tokens': 16}}, 200]	16	16	Incorrectly.	10	Incorrectly.
What’s something that always rises and never lowers?	"[<OpenAIObject text_completion id=cmpl-6hWY3iLxmjxZSn4eTXDaIEHwc7R5U at 0x2218d9298b0> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nThe sun.""
    }
  ],
  ""created"": 1675831239,
  ""id"": ""cmpl-6hWY3iLxmjxZSn4eTXDaIEHwc7R5U"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 5,
    ""prompt_tokens"": 12,
    ""total_tokens"": 17
  }
}, 200, 0.418969]"	[{'id': 'cmpl-6hWbBDKHwl3ODmRhs9GRFkTiY9pVb', 'object': 'text_completion', 'created': 1675831433, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nThe sun.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 12, 'completion_tokens': 5, 'total_tokens': 17}}, 200]	17	17	The sun.	12	The sun.
What gets larger the more you take away from it?	"[<OpenAIObject text_completion id=cmpl-6hWY3rAlELZLWzNNcBh8leHKjIcDA at 0x2218d929d60> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nA hole.""
    }
  ],
  ""created"": 1675831239,
  ""id"": ""cmpl-6hWY3rAlELZLWzNNcBh8leHKjIcDA"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 5,
    ""prompt_tokens"": 11,
    ""total_tokens"": 16
  }
}, 200, 1.531946]"	[{'id': 'cmpl-6hWbDCgS64XPU0JE7Jj9hfcH4l72y', 'object': 'text_completion', 'created': 1675831435, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nA hole.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 11, 'completion_tokens': 5, 'total_tokens': 16}}, 200]	16	16	A hole.	11	A hole.
What’s something that belongs to you, but others seem to use it more than you?	"[<OpenAIObject text_completion id=cmpl-6hWY5iJTEaIJ40bel5TaU3ZGPhBfX at 0x2218d929a40> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nMy phone.""
    }
  ],
  ""created"": 1675831241,
  ""id"": ""cmpl-6hWY5iJTEaIJ40bel5TaU3ZGPhBfX"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 5,
    ""prompt_tokens"": 20,
    ""total_tokens"": 25
  }
}, 200, 0.407265]"	[{'id': 'cmpl-6hWbEqBMuDMqsMop5wNJccXoAuiPz', 'object': 'text_completion', 'created': 1675831436, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nMy car.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 20, 'completion_tokens': 5, 'total_tokens': 25}}, 200]	25	25	My car.	20	My phone.
A group of ten ostriches are in a field. If four of them take off flying, how many are left in the field?	"[<OpenAIObject text_completion id=cmpl-6hWY5xs1RumgQfqfSrNNcTLiUCLpu at 0x2218d794180> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nSix ostriches are left in the field.""
    }
  ],
  ""created"": 1675831241,
  ""id"": ""cmpl-6hWY5xs1RumgQfqfSrNNcTLiUCLpu"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 12,
    ""prompt_tokens"": 28,
    ""total_tokens"": 40
  }
}, 200, 0.928422]"	[{'id': 'cmpl-6hWbFBcDpeZgo2H6f2w2xDUrhWOOm', 'object': 'text_completion', 'created': 1675831437, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nSix ostriches are left in the field.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 28, 'completion_tokens': 12, 'total_tokens': 40}}, 200]	40	40	Six ostriches are left in the field.	28	Six ostriches are left in the field.
How many sides does a house have?	"[<OpenAIObject text_completion id=cmpl-6hWY6Fn1qzNY00aYooJmAtE6DAQjD at 0x2218d794310> JSON: {
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""logprobs"": null,
      ""text"": ""\n\nA house typically has four sides.""
    }
  ],
  ""created"": 1675831242,
  ""id"": ""cmpl-6hWY6Fn1qzNY00aYooJmAtE6DAQjD"",
  ""model"": ""text-davinci-003"",
  ""object"": ""text_completion"",
  ""usage"": {
    ""completion_tokens"": 9,
    ""prompt_tokens"": 8,
    ""total_tokens"": 17
  }
}, 200, 0.599337]"	[{'id': 'cmpl-6hWbGnWR3QUXy0Wbysf2E7Mo0atnG', 'object': 'text_completion', 'created': 1675831438, 'model': 'text-davinci-003', 'choices': [{'text': '\n\nA house typically has four sides, but it can have more depending on the shape of the house.', 'index': 0, 'logprobs': None, 'finish_reason': 'stop'}], 'usage': {'prompt_tokens': 8, 'completion_tokens': 22, 'total_tokens': 30}}, 200]	30	17	A house typically has four sides, but it can have more depending on the shape of the house.	8	A house typically has four sides.
